dist;name;north_Y_;east_X_;height;layer;Type;Width;Dam_width;Slope_cleaned;Dam_Slope;SlopeMovWin_cleaned;Dam_SlopeMovWin;Sinuosity_MovWin;Dam_SinuosityMovWin;Sinuosity140;Dam_Sinuosity140;SinuosityCustom;Dam_SinuosityCustom
3390;GPS0009;6985670.802;562890.374;121.778;soknaicedamsurvy;No Dam;21;NA;0.748;0.748;1.121;1.121;1.038;1.038;1.031;1.031;1.073;1.73.
3399.536422;;;;;;Ice Dam;23;23;0.748;NA;0.96;NA;1.039;NA;1.031;NA;1.073;NA
3400;;;;;;No Dam;23;NA;0.748;NA;0.577;NA;1.038;NA;1.031;NA;1.073;NA
3410;GPS0010;6985689.828;562876.255;121.037;soknaicedamsurvy;No Dam;23;NA;0.257;0.257;0.459;0.459;1.037;1.037;1.031;1.031;1.073;1.73.
3420;;;;;;No Dam;24;NA;0.257;NA;0.383;NA;1.037;NA;1.031;NA;1.073;NA
3430;;;;;;No Dam;27;NA;0.257;NA;0.173;NA;1.032;NA;1.031;NA;1.073;NA
3440;;;;;;No Dam;23;NA;0.027;NA;0.137;NA;1.029;NA;1.031;NA;1.073;NA
3450;;;;;;No Dam;27;NA;0.027;NA;0.067;NA;1.027;NA;1.031;NA;1.073;NA
3460;;;;;;No Dam;29;NA;0.173;NA;0.033;NA;1.023;NA;1.031;NA;1.073;NA
3470;;;;;;No Dam;26;NA;0.173;NA;0.113;NA;1.018;NA;1.031;NA;1.073;NA
3480;;;;;;No Dam;32;NA;0.098;NA;0.104;NA;1.013;NA;1.031;NA;1.073;NA
3490;;;;;;No Dam;38;NA;0.098;NA;0.189;NA;1.009;NA;1.031;NA;1.073;NA
3500;;;;;;No Dam;31;NA;0.091;NA;0.203;NA;1.006;NA;1.031;NA;1.073;NA
3510;;;;;;No Dam;31;NA;0.091;NA;0.085;NA;1.004;NA;1.002;NA;1.073;NA
3520;;;;;;No Dam;34;NA;0.287;NA;0.362;NA;1.003;NA;1.002;NA;1.073;NA
3530;;;;;;No Dam;35;NA;0.287;NA;0.512;NA;1.003;NA;1.002;NA;1.073;NA
3540;;;;;;No Dam;38;NA;0.83;NA;0.727;NA;1.004;NA;1.002;NA;1.073;NA
3550;;;;;;No Dam;40;NA;0.83;NA;0.854;NA;1.004;NA;1.002;NA;1.073;NA
3560;;;;;;No Dam;36;NA;2.485;NA;1.718;NA;1.004;NA;1.002;NA;1.073;NA
3570;;;;;;No Dam;28;NA;2.485;NA;2.631;NA;1.003;NA;1.002;NA;1.073;NA
3580;;;;;;No Dam;24;NA;1.855;NA;2.749;NA;1.002;NA;1.002;NA;1.073;NA
3590;;;;;;No Dam;21;NA;1.855;NA;1.778;NA;1.002;NA;1.002;NA;1.073;NA
3600;;;;;;No Dam;20;NA;1.133;NA;0.941;NA;1.002;NA;1.002;NA;1.073;NA
3610;;;;;;No Dam;21;NA;1.133;NA;1.109;NA;1.002;NA;1.002;NA;1.073;NA
3620;;;;;;No Dam;22;NA;0.472;NA;0.561;NA;1.003;NA;1.002;NA;1.073;NA
3630;;;;;;No Dam;23;NA;0.472;NA;0.429;NA;1.006;NA;1.002;NA;1.073;NA
3640;;;;;;No Dam;27;NA;0.885;NA;0.867;NA;1.009;NA;1.002;NA;1.073;NA
3650;;;;;;No Dam;26;NA;0.885;NA;0.58;NA;1.01;NA;1.009;NA;1.073;NA
3660;;;;;;No Dam;29;NA;0.418;NA;0.592;NA;1.009;NA;1.009;NA;1.073;NA
3670;;;;;;No Dam;36;NA;0.418;NA;0.552;NA;1.008;NA;1.009;NA;1.073;NA
3680;;;;;;No Dam;51;NA;1.143;NA;0.728;NA;1.008;NA;1.009;NA;1.073;NA
3690;;;;;;No Dam;52;NA;1.143;NA;1.378;NA;1.008;NA;1.009;NA;1.073;NA
3700;;;;;;No Dam;22;NA;2.328;NA;1.928;NA;1.008;NA;1.009;NA;1.073;NA
3706.365529;;;;;;Ice Dam;21;21;2.328;NA;2.872;NA;1.009;NA;1.009;NA;1.073;NA
3710;;;;;;No Dam;20;NA;2.434;NA;3.202;NA;1.011;NA;1.009;NA;1.073;NA
3720;GPS0011;6985994.673;562838.989;118.093;soknaicedamsurvy;No Dam;20;NA;2.434;2.434;3.049;3.049;1.012;1.012;1.009;1.009;1.073;1.73.
3730;;;;;;No Dam;17;NA;2.434;NA;2.525;NA;1.012;NA;1.009;NA;1.073;NA
3735.084542;;;;;;Ice Dam;16;16;2.221;NA;2.167;NA;1.012;NA;1.009;NA;1.073;NA
3740;;;;;;No Dam;15;NA;2.221;NA;1.151;NA;1.012;NA;1.009;NA;1.073;NA
3750;GPS0012;6986022.726;562840.927;117.265;soknaicedamsurvy;No Dam;17;NA;2.221;2.221;2.051;2.051;1.012;1.012;1.009;1.009;1.073;1.73.
3758.009938;;;;;;Ice Dam;17;17;2.181;NA;2.444;NA;1.012;NA;1.009;NA;1.073;NA
3760;;;;;;No Dam;17;NA;2.181;NA;2.465;NA;1.01;NA;1.009;NA;1.073;NA
3770;GPS0013;6986044.915;562838.107;117.109;soknaicedamsurvy;No Dam;15;NA;0.317;0.317;1.407;1.407;1.008;1.008;1.009;1.009;1.073;1.73.
3780;;;;;;No Dam;17;NA;0.317;NA;0.021;NA;1.008;NA;1.012;NA;1.073;NA
3790;;;;;;No Dam;41;NA;0.317;NA;0.369;NA;1.006;NA;1.012;NA;1.073;NA
